,workload_info.name,composition,workload_profit,request_info.utility.name,allocation,workload_mode,budget.mode,budget.ModeConfig.Unlocking.slack,workload.mechanism_mix,workload.sub_mix,workload.pa_mix,round,profit_accepted_fraction_perround_mean,profit_accepted_fraction_perround_std,n_requests_accepted_fraction_perround_mean,n_requests_accepted_fraction_perround_std,profit_accepted_fraction_cum_mean,profit_accepted_fraction_cum_std,n_requests_accepted_fraction_cum_mean,n_requests_accepted_fraction_cum_std,allocation_status_<lambda>
52,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,23,0.4143903312154518,0.007853670668835319,0.4143903312154518,0.007853670668835319,0.13158924038207725,0.0009600245023989818,0.13158924038207725,0.0009600245023989818,"{""{'Optimal': 24}"": 5}"
53,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,24,0.4114203035183456,0.019065653949395994,0.4114203035183456,0.019065653949395994,0.14160537204567633,0.0011223162227410955,0.14160537204567633,0.0011223162227410955,"{""{'Optimal': 24}"": 5}"
54,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,25,0.38498028761736275,0.0105389113488505,0.38498028761736275,0.0105389113488505,0.1513855120573003,0.0008617546002520076,0.1513855120573003,0.0008617546002520076,"{""{'Optimal': 24}"": 5}"
55,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,26,0.39339785492891827,0.02202817994083476,0.39339785492891827,0.02202817994083476,0.1613327788128474,0.0009111553736253939,0.1613327788128474,0.0009111553736253939,"{""{'Optimal': 24}"": 5}"
56,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,27,0.4028491932757691,0.015833121412736555,0.4028491932757691,0.015833121412736555,0.17113170252102045,0.0010849709114374411,0.17113170252102045,0.0010849709114374411,"{""{'Optimal': 24}"": 5}"
57,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,28,0.3923485266660004,0.01223824027136364,0.3923485266660004,0.01223824027136364,0.1808816557115311,0.0016622793327426917,0.1808816557115311,0.0016622793327426917,"{""{'Optimal': 24}"": 5}"
58,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,29,0.40749576064935555,0.013839693881437565,0.40749576064935555,0.013839693881437565,0.19070060850484621,0.0016445371395125868,0.19070060850484621,0.0016445371395125868,"{""{'Optimal': 24}"": 5}"
59,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,30,0.4178415666076873,0.024722367301093055,0.4178415666076873,0.024722367301093055,0.20141825781019612,0.0009130912737508337,0.20141825781019612,0.0009130912737508337,"{""{'Optimal': 24}"": 5}"
60,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,31,0.40830625882923705,0.02432420168491097,0.40830625882923705,0.02432420168491097,0.21143625069897198,0.0007392771310093993,0.21143625069897198,0.0007392771310093993,"{""{'Optimal': 24}"": 5}"
61,basic:GM-LM-RR-LSVT-sub25100-defpa,block-composition,equal-ncd,ConstantUtilityShadowAssigner,dpk-gurobi,poisson,Unlocking,0.0,basic:GM-LM-RR-LSVT,sub25100,nopa,32,0.41186046393211323,0.008785470614185083,0.41186046393211323,0.008785470614185083,0.2214924060824181,0.0006951397405875525,0.2214924060824181,0.0006951397405875525,"{""{'Optimal': 24}"": 5}"
